Region,Date,Confirmed,Recovered/Migrated,Deceased
Kerala,15032020,24.0,6.0,0.0
Ladakh,15032020,3.0,0.0,0.0
Maharashtra,15032020,33.0,0.0,1.0
Punjab,15032020,1.0,0.0,0.0
Rajasthan,15032020,4.0,3.0,0.0
Tamil Nadu,15032020,1.0,1.0,0.0
Telangana,15032020,3.0,1.0,0.0
Uttar Pradesh,15032020,13.0,2.0,0.0
Uttarakhand,15032020,1.0,0.0,0.0
National Total,15032020,113.0,15.0,3.0
Andhra Pradesh,16032020,1.0,0.0,0.0
Delhi,16032020,7.0,2.0,1.0
Haryana,16032020,14.0,0.0,0.0
Jammu and Kashmir,16032020,3.0,0.0,0.0
Karnataka,16032020,8.0,0.0,1.0
Kerala,16032020,27.0,6.0,0.0
Ladakh,16032020,3.0,0.0,0.0
Maharashtra,16032020,39.0,0.0,1.0
Odisha,16032020,1.0,0.0,0.0
Punjab,16032020,1.0,0.0,0.0
Rajasthan,16032020,4.0,3.0,0.0
Tamil Nadu,16032020,1.0,1.0,0.0
Telangana,16032020,4.0,1.0,0.0
Uttar Pradesh,16032020,13.0,2.0,0.0
Uttarakhand,16032020,1.0,0.0,0.0
National Total,16032020,127.0,15.0,3.0
Andhra Pradesh,17032020,1.0,0.0,0.0
Delhi,17032020,10.0,2.0,1.0
Haryana,17032020,15.0,0.0,0.0
Jammu and Kashmir,17032020,3.0,0.0,0.0
Karnataka,17032020,11.0,0.0,1.0
Kerala,17032020,27.0,6.0,0.0
Ladakh,17032020,8.0,0.0,0.0
Maharashtra,17032020,41.0,0.0,1.0
Odisha,17032020,1.0,0.0,0.0
Puducherry,17032020,1.0,0.0,0.0
Punjab,17032020,1.0,0.0,0.0
Rajasthan,17032020,4.0,3.0,0.0
Tamil Nadu,17032020,1.0,1.0,0.0
Telangana,17032020,5.0,1.0,0.0
Uttar Pradesh,17032020,15.0,2.0,0.0
Uttarakhand,17032020,1.0,0.0,0.0
West Bengal,17032020,1.0,0.0,0.0
National Total,17032020,146.0,15.0,3.0
Andhra Pradesh,18032020,1.0,0.0,0.0
Delhi,18032020,11.0,2.0,1.0
Haryana,18032020,17.0,0.0,0.0
Jammu and Kashmir,18032020,4.0,0.0,0.0
Karnataka,18032020,14.0,0.0,1.0
Kerala,18032020,27.0,6.0,0.0
Ladakh,18032020,8.0,0.0,0.0
Maharashtra,18032020,45.0,0.0,1.0
Odisha,18032020,1.0,0.0,0.0
Puducherry,18032020,1.0,0.0,0.0
Punjab,18032020,1.0,0.0,0.0
Rajasthan,18032020,7.0,3.0,0.0
Tamil Nadu,18032020,2.0,1.0,0.0
Telangana,18032020,13.0,1.0,0.0
Uttar Pradesh,18032020,17.0,2.0,0.0
Uttarakhand,18032020,1.0,0.0,0.0
West Bengal,18032020,1.0,0.0,0.0
National Total,18032020,171.0,15.0,3.0
Andhra Pradesh,19032020,3.0,0.0,0.0
Chandigarh,19032020,1.0,0.0,0.0
Chhattisgarh,19032020,1.0,0.0,0.0
Delhi,19032020,14.0,2.0,1.0
Gujarat,19032020,2.0,0.0,0.0
Haryana,19032020,17.0,0.0,0.0
Jammu and Kashmir,19032020,4.0,0.0,0.0
Karnataka,19032020,15.0,0.0,1.0
Kerala,19032020,28.0,6.0,0.0
Ladakh,19032020,8.0,0.0,0.0
Maharashtra,19032020,49.0,0.0,1.0
Odisha,19032020,2.0,0.0,0.0
Puducherry,19032020,1.0,0.0,0.0
Punjab,19032020,2.0,0.0,1.0
Rajasthan,19032020,9.0,3.0,0.0
Tamil Nadu,19032020,3.0,1.0,0.0
Telangana,19032020,16.0,1.0,0.0
Uttar Pradesh,19032020,20.0,2.0,0.0
Uttarakhand,19032020,3.0,1.0,0.0
West Bengal,19032020,1.0,0.0,0.0
National Total,19032020,199.0,16.0,4.0
Andhra Pradesh,20032020,3.0,0.0,0.0
Chandigarh,20032020,5.0,0.0,0.0
Chhattisgarh,20032020,1.0,0.0,0.0
Delhi,20032020,20.0,3.0,1.0
Gujarat,20032020,7.0,0.0,0.0
Haryana,20032020,19.0,0.0,0.0
Himachal Pradesh,20032020,2.0,1.0,0.0
Jammu and Kashmir,20032020,4.0,0.0,0.0
Karnataka,20032020,15.0,1.0,1.0
Kerala,20032020,40.0,8.0,0.0
Ladakh,20032020,10.0,0.0,0.0
Madhya Pradesh,20032020,4.0,0.0,0.0
Maharashtra,20032020,54.0,0.0,1.0
Odisha,20032020,2.0,0.0,0.0
Puducherry,20032020,1.0,0.0,0.0
Punjab,20032020,3.0,0.0,1.0
Rajasthan,20032020,17.0,3.0,0.0
Tamil Nadu,20032020,3.0,1.0,0.0
Telangana,20032020,19.0,1.0,0.0
Uttar Pradesh,20032020,24.0,2.0,0.0
Uttarakhand,20032020,3.0,1.0,0.0
West Bengal,20032020,2.0,0.0,0.0
National Total,20032020,258.0,21.0,4.0
Andhra Pradesh,21032020,5.0,0.0,0.0
Chandigarh,21032020,5.0,0.0,0.0
Chhattisgarh,21032020,1.0,0.0,0.0
Delhi,21032020,27.0,3.0,1.0
Gujarat,21032020,14.0,0.0,0.0
Haryana,21032020,21.0,0.0,0.0
Himachal Pradesh,21032020,2.0,1.0,0.0
Jammu and Kashmir,21032020,4.0,0.0,0.0
Karnataka,21032020,20.0,1.0,1.0
Kerala,21032020,52.0,8.0,0.0
Ladakh,21032020,13.0,0.0,0.0
Madhya Pradesh,21032020,4.0,0.0,0.0
Maharashtra,21032020,64.0,0.0,1.0
Odisha,21032020,2.0,0.0,0.0
Puducherry,21032020,1.0,0.0,0.0
Punjab,21032020,13.0,0.0,1.0
Rajasthan,21032020,24.0,3.0,0.0
Tamil Nadu,21032020,6.0,1.0,0.0
Telangana,21032020,21.0,1.0,0.0
Uttar Pradesh,21032020,28.0,2.0,0.0
Uttarakhand,21032020,3.0,1.0,0.0
West Bengal,21032020,4.0,0.0,0.0
National Total,21032020,334.0,21.0,4.0
Andhra Pradesh,22032020,6.0,0.0,0.0
Bihar,22032020,2.0,0.0,1.0
Chandigarh,22032020,6.0,0.0,0.0
Chhattisgarh,22032020,1.0,0.0,0.0
Delhi,22032020,28.0,3.0,1.0
Gujarat,22032020,18.0,0.0,1.0
Haryana,22032020,21.0,0.0,0.0
Himachal Pradesh,22032020,2.0,1.0,0.0
Jammu and Kashmir,22032020,4.0,0.0,0.0
Karnataka,22032020,26.0,1.0,1.0
Kerala,22032020,67.0,8.0,0.0
Ladakh,22032020,13.0,0.0,0.0
Madhya Pradesh,22032020,6.0,0.0,0.0
Maharashtra,22032020,74.0,0.0,2.0
Odisha,22032020,2.0,0.0,0.0
Puducherry,22032020,1.0,0.0,0.0
Punjab,22032020,21.0,0.0,1.0
Rajasthan,22032020,29.0,3.0,0.0
Tamil Nadu,22032020,9.0,1.0,0.0
Telangana,22032020,27.0,1.0,0.0
Uttar Pradesh,22032020,30.0,2.0,0.0
Uttarakhand,22032020,3.0,1.0,0.0
West Bengal,22032020,7.0,0.0,0.0
National Total,22032020,403.0,21.0,7.0
Andhra Pradesh,23032020,7.0,0.0,0.0
Bihar,23032020,3.0,0.0,1.0
Chandigarh,23032020,7.0,0.0,0.0
Chhattisgarh,23032020,1.0,0.0,0.0
Delhi,23032020,30.0,3.0,1.0
Gujarat,23032020,30.0,0.0,1.0
Haryana,23032020,28.0,0.0,0.0
Himachal Pradesh,23032020,3.0,1.0,1.0
Jammu and Kashmir,23032020,4.0,0.0,0.0
Karnataka,23032020,33.0,1.0,1.0
Kerala,23032020,95.0,9.0,0.0
Ladakh,23032020,13.0,0.0,0.0
Madhya Pradesh,23032020,6.0,0.0,0.0
Maharashtra,23032020,97.0,0.0,2.0
Odisha,23032020,2.0,0.0,0.0
Puducherry,23032020,1.0,0.0,0.0
Punjab,23032020,23.0,0.0,1.0
Rajasthan,23032020,32.0,3.0,0.0
Tamil Nadu,23032020,12.0,1.0,0.0
Telangana,23032020,33.0,1.0,0.0
Uttar Pradesh,23032020,34.0,2.0,0.0
Uttarakhand,23032020,4.0,1.0,0.0
West Bengal,23032020,7.0,0.0,1.0
National Total,23032020,505.0,22.0,9.0
Andhra Pradesh,24032020,8.0,0.0,0.0
Bihar,24032020,3.0,0.0,1.0
Chandigarh,24032020,7.0,0.0,0.0
Chhattisgarh,24032020,1.0,0.0,0.0
Delhi,24032020,30.0,3.0,1.0
Gujarat,24032020,36.0,0.0,1.0
Haryana,24032020,30.0,0.0,0.0
Himachal Pradesh,24032020,3.0,1.0,1.0
Jammu and Kashmir,24032020,6.0,0.0,1.0
Karnataka,24032020,41.0,3.0,1.0
Kerala,24032020,109.0,11.0,0.0
Ladakh,24032020,13.0,0.0,0.0
Madhya Pradesh,24032020,7.0,0.0,0.0
Maharashtra,24032020,107.0,0.0,2.0
Manipur,24032020,1.0,0.0,0.0
Odisha,24032020,2.0,0.0,0.0
Puducherry,24032020,1.0,0.0,0.0
Punjab,24032020,29.0,0.0,1.0
Rajasthan,24032020,32.0,3.0,0.0
Tamil Nadu,24032020,18.0,1.0,0.0
Telangana,24032020,39.0,1.0,0.0
Uttar Pradesh,24032020,35.0,2.0,0.0
Uttarakhand,24032020,4.0,1.0,0.0
West Bengal,24032020,9.0,0.0,1.0
National Total,24032020,571.0,26.0,10.0
Andhra Pradesh,25032020,10.0,0.0,0.0
Bihar,25032020,4.0,0.0,1.0
Chandigarh,25032020,7.0,0.0,0.0
Chhattisgarh,25032020,3.0,0.0,0.0
Delhi,25032020,35.0,3.0,1.0
Goa,25032020,3.0,0.0,0.0
Gujarat,25032020,38.0,0.0,2.0
Haryana,25032020,31.0,0.0,0.0
Himachal Pradesh,25032020,3.0,1.0,1.0
Jammu and Kashmir,25032020,11.0,0.0,1.0
Karnataka,25032020,51.0,3.0,1.0
Kerala,25032020,118.0,11.0,0.0
Ladakh,25032020,13.0,0.0,0.0
Madhya Pradesh,25032020,15.0,0.0,1.0
Maharashtra,25032020,122.0,2.0,2.0
Manipur,25032020,1.0,0.0,0.0
Mizoram,25032020,1.0,0.0,0.0
Odisha,25032020,2.0,0.0,0.0
Puducherry,25032020,1.0,0.0,0.0
Punjab,25032020,31.0,0.0,1.0
Rajasthan,25032020,38.0,3.0,0.0
Tamil Nadu,25032020,26.0,1.0,1.0
Telangana,25032020,41.0,1.0,0.0
Uttar Pradesh,25032020,38.0,2.0,0.0
Uttarakhand,25032020,5.0,1.0,0.0
West Bengal,25032020,9.0,0.0,1.0
National Total,25032020,657.0,28.0,13.0
