Region,Date,Confirmed,Recovered/Migrated,Deceased
Ladakh,20200316,3.0,0.0,0.0
Maharashtra,20200316,39.0,0.0,1.0
Odisha,20200316,1.0,0.0,0.0
Punjab,20200316,1.0,0.0,0.0
Rajasthan,20200316,4.0,3.0,0.0
Tamil Nadu,20200316,1.0,1.0,0.0
Telangana,20200316,4.0,1.0,0.0
Uttar Pradesh,20200316,13.0,2.0,0.0
Uttarakhand,20200316,1.0,0.0,0.0
Andhra Pradesh,20200317,1.0,0.0,0.0
Delhi,20200317,10.0,2.0,1.0
Haryana,20200317,15.0,0.0,0.0
Jammu and Kashmir,20200317,3.0,0.0,0.0
Karnataka,20200317,11.0,0.0,1.0
Kerala,20200317,27.0,6.0,0.0
Ladakh,20200317,8.0,0.0,0.0
Maharashtra,20200317,41.0,0.0,1.0
Odisha,20200317,1.0,0.0,0.0
Puducherry,20200317,1.0,0.0,0.0
Punjab,20200317,1.0,0.0,0.0
Rajasthan,20200317,4.0,3.0,0.0
Tamil Nadu,20200317,1.0,1.0,0.0
Telangana,20200317,5.0,1.0,0.0
Uttar Pradesh,20200317,15.0,2.0,0.0
Uttarakhand,20200317,1.0,0.0,0.0
West Bengal,20200317,1.0,0.0,0.0
Andhra Pradesh,20200318,1.0,0.0,0.0
Delhi,20200318,11.0,2.0,1.0
Haryana,20200318,17.0,0.0,0.0
Jammu and Kashmir,20200318,4.0,0.0,0.0
Karnataka,20200318,14.0,0.0,1.0
Kerala,20200318,27.0,6.0,0.0
Ladakh,20200318,8.0,0.0,0.0
Maharashtra,20200318,45.0,0.0,1.0
Odisha,20200318,1.0,0.0,0.0
Puducherry,20200318,1.0,0.0,0.0
Punjab,20200318,1.0,0.0,0.0
Rajasthan,20200318,7.0,3.0,0.0
Tamil Nadu,20200318,2.0,1.0,0.0
Telangana,20200318,13.0,1.0,0.0
Uttar Pradesh,20200318,17.0,2.0,0.0
Uttarakhand,20200318,1.0,0.0,0.0
West Bengal,20200318,1.0,0.0,0.0
Andhra Pradesh,20200319,3.0,0.0,0.0
Chandigarh,20200319,1.0,0.0,0.0
Chhattisgarh,20200319,1.0,0.0,0.0
Delhi,20200319,14.0,2.0,1.0
Gujarat,20200319,2.0,0.0,0.0
Haryana,20200319,17.0,0.0,0.0
Jammu and Kashmir,20200319,4.0,0.0,0.0
Karnataka,20200319,15.0,0.0,1.0
Kerala,20200319,28.0,6.0,0.0
Ladakh,20200319,8.0,0.0,0.0
Maharashtra,20200319,49.0,0.0,1.0
Odisha,20200319,2.0,0.0,0.0
Puducherry,20200319,1.0,0.0,0.0
Punjab,20200319,2.0,0.0,1.0
Rajasthan,20200319,9.0,3.0,0.0
Tamil Nadu,20200319,3.0,1.0,0.0
Telangana,20200319,16.0,1.0,0.0
Uttar Pradesh,20200319,20.0,2.0,0.0
Uttarakhand,20200319,3.0,1.0,0.0
West Bengal,20200319,1.0,0.0,0.0
Andhra Pradesh,20200320,3.0,0.0,0.0
Chandigarh,20200320,5.0,0.0,0.0
Chhattisgarh,20200320,1.0,0.0,0.0
Delhi,20200320,20.0,3.0,1.0
Gujarat,20200320,7.0,0.0,0.0
Haryana,20200320,19.0,0.0,0.0
Himachal Pradesh,20200320,2.0,1.0,0.0
Jammu and Kashmir,20200320,4.0,0.0,0.0
Karnataka,20200320,15.0,1.0,1.0
Kerala,20200320,40.0,8.0,0.0
Ladakh,20200320,10.0,0.0,0.0
Madhya Pradesh,20200320,4.0,0.0,0.0
Maharashtra,20200320,54.0,0.0,1.0
Odisha,20200320,2.0,0.0,0.0
Puducherry,20200320,1.0,0.0,0.0
Punjab,20200320,3.0,0.0,1.0
Rajasthan,20200320,17.0,3.0,0.0
Tamil Nadu,20200320,3.0,1.0,0.0
Telangana,20200320,19.0,1.0,0.0
Uttar Pradesh,20200320,24.0,2.0,0.0
Uttarakhand,20200320,3.0,1.0,0.0
West Bengal,20200320,2.0,0.0,0.0
Andhra Pradesh,20200321,5.0,0.0,0.0
Chandigarh,20200321,5.0,0.0,0.0
Chhattisgarh,20200321,1.0,0.0,0.0
Delhi,20200321,27.0,3.0,1.0
Gujarat,20200321,14.0,0.0,0.0
Haryana,20200321,21.0,0.0,0.0
Himachal Pradesh,20200321,2.0,1.0,0.0
Jammu and Kashmir,20200321,4.0,0.0,0.0
Karnataka,20200321,20.0,1.0,1.0
Kerala,20200321,52.0,8.0,0.0
Ladakh,20200321,13.0,0.0,0.0
Madhya Pradesh,20200321,4.0,0.0,0.0
Maharashtra,20200321,64.0,0.0,1.0
Odisha,20200321,2.0,0.0,0.0
Puducherry,20200321,1.0,0.0,0.0
Punjab,20200321,13.0,0.0,1.0
Rajasthan,20200321,24.0,3.0,0.0
Tamil Nadu,20200321,6.0,1.0,0.0
Telangana,20200321,21.0,1.0,0.0
Uttar Pradesh,20200321,28.0,2.0,0.0
Uttarakhand,20200321,3.0,1.0,0.0
West Bengal,20200321,4.0,0.0,0.0
Andhra Pradesh,20200322,6.0,0.0,0.0
Bihar,20200322,2.0,0.0,1.0
Chandigarh,20200322,6.0,0.0,0.0
Chhattisgarh,20200322,1.0,0.0,0.0
Delhi,20200322,28.0,3.0,1.0
Gujarat,20200322,18.0,0.0,1.0
Haryana,20200322,21.0,0.0,0.0
Himachal Pradesh,20200322,2.0,1.0,0.0
Jammu and Kashmir,20200322,4.0,0.0,0.0
Karnataka,20200322,26.0,1.0,1.0
Kerala,20200322,67.0,8.0,0.0
Ladakh,20200322,13.0,0.0,0.0
Madhya Pradesh,20200322,6.0,0.0,0.0
Maharashtra,20200322,74.0,0.0,2.0
Odisha,20200322,2.0,0.0,0.0
Puducherry,20200322,1.0,0.0,0.0
Punjab,20200322,21.0,0.0,1.0
Rajasthan,20200322,29.0,3.0,0.0
Tamil Nadu,20200322,9.0,1.0,0.0
Telangana,20200322,27.0,1.0,0.0
Uttar Pradesh,20200322,30.0,2.0,0.0
Uttarakhand,20200322,3.0,1.0,0.0
West Bengal,20200322,7.0,0.0,0.0
Andhra Pradesh,20200323,7.0,0.0,0.0
Bihar,20200323,3.0,0.0,1.0
Chandigarh,20200323,7.0,0.0,0.0
Chhattisgarh,20200323,1.0,0.0,0.0
Delhi,20200323,30.0,3.0,1.0
Gujarat,20200323,30.0,0.0,1.0
Haryana,20200323,28.0,0.0,0.0
Himachal Pradesh,20200323,3.0,1.0,1.0
Jammu and Kashmir,20200323,4.0,0.0,0.0
Karnataka,20200323,33.0,1.0,1.0
Kerala,20200323,95.0,9.0,0.0
Ladakh,20200323,13.0,0.0,0.0
Madhya Pradesh,20200323,6.0,0.0,0.0
Maharashtra,20200323,97.0,0.0,2.0
Odisha,20200323,2.0,0.0,0.0
Puducherry,20200323,1.0,0.0,0.0
Punjab,20200323,23.0,0.0,1.0
Rajasthan,20200323,32.0,3.0,0.0
Tamil Nadu,20200323,12.0,1.0,0.0
Telangana,20200323,33.0,1.0,0.0
Uttar Pradesh,20200323,34.0,2.0,0.0
